sample,label,object,group,mapping_objs
256-1,0,"sink, kid, stool , she, water","group2, group1-kid-boy, group1, group2, group2","['sink', 'boy', 'stool', 'mother', 'water']"
256-2,0,"girl, boy, she , cookie , cookie jar, he, mother, kids, she, dishes, she , window , she, sink, water , floor, feet , curtains , cups , dish , sink, faucets , cupboard door, shoes , dress, apron, shirt, shorts, socks, socks, lid , cookie jar, sink , cabinet ","group1, group1, group1, group1, group1, group1, group2, group1-they, group2, group2, group2, group4, group2, group2, group2, group2, group2, group4, group3, group3, group2, group2, group1, group2, group2, group2, group1-boy-hand, group1-girl-hand, group1-boy-hand, group1-girl-hand, group1, group1, group2, group1","['girl', 'boy', 'girl', 'cookie', 'jar', 'boy', 'mother', 'kids', 'mother', 'dish_2', 'mother', 'window', 'mother', 'sink', 'water', 'floor', 'mother', 'curtain', 'dish_3', 'dish_3', 'sink', 'sink', 'cupboard_1', 'mother', 'mother', 'mother', 'boy', 'girl', 'boy', 'girl', 'lid', 'jar', 'sink', 'cupboard_1']"
266-0,0,"mother , dishes, sink , children , cookie jar, boy , stool , girl , hand , brother , cookie, shrubbery, window, walkway, curtains , window","group2, group2, group2, group1-they, group1, group1, group1, group1, group1-girl-hand, group1, group1, group4, group4, group4, group4, group4","['mother', 'dish_2', 'sink', 'kids', 'jar', 'boy', 'stool', 'girl', 'girl', 'boy', 'cookie', 'plant', 'window', 'path', 'curtain', 'window']"
266-1,0,"dishes, water, sink, stool, cookie, girl, water, window","group2, group2, group2, group1, group1, group1, group2, group4","['dish_2', 'water', 'sink', 'stool', 'cookie', 'girl', 'water', 'window']"
266-2,0,"mother, dishes, children , cookie jar, stool, water , sink, window , grass , trees , curtains , girl , boy, cookie, mother, dishes, she, water, dishes , sink, boy, cookies, cookie jar, girl, cookie, stool ","group2, group2, group1-kid-boy, group1, group1, group2, group2, group4, group4, group4, group4, group1, group1, group1, group2, group2, group2, group2, group3, group2, group1, group1, group1, group1, group1, group1","['mother', 'dish_2', 'kids', 'jar', 'stool', 'water', 'sink', 'window', 'plant', 'plant', 'curtain', 'girl', 'boy', 'cookie', 'mother', 'dish_2', 'mother', 'water', 'dish_3', 'sink', 'boy', 'cookie', 'jar', 'girl', 'cookie', 'stool']"
267-0,0,"boy , stepstool , cookies , cookie jar, stepstool, girl, hand, cookie, girl, hand , mouth , mom , back , mom, back , two , dish , window , water , floor , she, water, sink","group1, group1, group1, group1, group1, group1, group1-girl-hand, group1, group1, group1-girl-hand, group1-girl-hand, group2, group2, group2, group2, group1-they, group2, group4, group2, group2, group2, group2, group2","['boy', 'stool', 'cookie', 'jar', 'stool', 'girl', 'girl', 'cookie', 'girl', 'girl', 'girl', 'mother', 'mother', 'mother', 'mother', 'kids', 'dish_2', 'window', 'water', 'floor', 'mother', 'water', 'sink']"
267-2,0,"mother , dishes , window , water , floor, sink, window , children , mother, cookies , cookie jar, boy , stool , cookies, cookie jar, sister, shoes , cupboard door,  lid, cookie jar, feet , she ","group2, group2, group4, group2, group2, group2, group4, group1-kid-boy, group2, group1, group1, group1, group1, group1, group1, group1-kid-girl, group1-boy-hand, group1, group1, group1, group2, group2","['mother', 'dish_2', 'window', 'water', 'floor', 'sink', 'window', 'kids', 'mother', 'cookie', 'jar', 'boy', 'stool', 'cookie', 'jar', 'girl', 'boy', 'cupboard_1', 'lid', 'jar', 'mother', 'mother']"
274-0,0,"water, boy, stool, girl , boy , cookie jar, lid, mother, dishes, window , she, water, she, dishes","group2, group1, group1, group1, group1, group1, group1, group2, group2, group4, group2, group2, group2, group2","['water', 'boy', 'stool', 'girl', 'boy', 'jar', 'lid', 'mother', 'dish_2', 'window', 'mother', 'water', 'mother', 'dish_2']"
274-1,0,"mother, dishes , sink , boy, cookie jar, stool , girl , garage","group2, group2, group2, group1, group1, group1, group1, group4","['mother', 'dish_2', 'sink', 'boy', 'jar', 'stool', 'girl', 'garage']"
274-2,0,"mother , dishes, water , sink , floor, brother, sister , cookies , cookie jar, cupboard, he, stool , floor","group2, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1, group1","['mother', 'dish_2', 'water', 'sink', 'floor', 'boy', 'girl', 'cookie', 'jar', 'cupboard_1', 'boy', 'stool', 'floor']"
275-0,0,"boy, cookies , cookie jar, girl , cookie, boy , stool, mother , dishes , water , sink, curtain , mother, water, boy , girl , cookie , she, boy , stool ","group1, group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group4, group2, group2, group1, group1, group1, group1, group1, group1","['boy', 'cookie', 'jar', 'girl', 'cookie', 'boy', 'stool', 'mother', 'dish_2', 'water', 'sink', 'curtain', 'mother', 'water', 'boy', 'girl', 'cookie', 'girl', 'boy', 'stool']"
275-1,0,"boy , cookies , cookie jar, girl, he, stool, mom, dishes , water , sink, curtain , she, puddle","group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group4, group2, group2","['boy', 'cookie', 'jar', 'girl', 'boy', 'stool', 'mother', 'dish_2', 'water', 'sink', 'curtain', 'mother', 'water']"
280-0,0,"boy , cookies , girl , cookie, mother , dishes, window, she, dishes , she, water, cupboard door, cookie jar, curtains, window, grass , shrubbery , house , cabinets, mother , boy, girl","group1, group1, group1, group1, group2, group2, group4, group2, group2, group2, group2, group1, group1, group4, group4, group4, group4, group4, group1, group2, group1, group1","['boy', 'cookie', 'girl', 'cookie', 'mother', 'dish_2', 'window', 'mother', 'dish_2', 'mother', 'water', 'cupboard_1', 'jar', 'curtain', 'window', 'plant', 'plant', 'cupboard_1', 'mother', 'boy', 'girl']"
280-1,0,"girl , brother , stool , cookies, mother , plate, sink, window","group1, group1, group1, group1, group2, group2, group2, group4","['girl', 'boy', 'stool', 'cookie', 'mother', 'dish_2', 'sink', 'window']"
280-2,0,"mother, dishes, sink , mother, window, boy , cookies, cookie jar, stool , girl , cookie, sink, dishes , counter","group2, group2, group2, group2, group4, group1, group1, group1, group1, group1, group1, group2, group3, group3","['mother', 'dish_2', 'sink', 'mother', 'window', 'boy', 'cookie', 'jar', 'stool', 'girl', 'cookie', 'sink', 'dish_3', 'cupboard_3']"
292-1,0,"girl , boy , cookies , cookie jar, stool , mother , dishes, water, curtains, mother, dishes, boy , sister, boy , mother, dishes, water","group1, group1, group1, group1, group1, group2, group2, group2, group4, group2, group2, group1, group1-kid-girl, group1, group2, group2, group2","['girl', 'boy', 'cookie', 'jar', 'stool', 'mother', 'dish_2', 'water', 'curtain', 'mother', 'dish_2', 'boy', 'girl', 'boy', 'mother', 'dish_2', 'water']"
295-0,0,"water , sink, mother, dishes, boy , stepstool , cookie jar, he, sister , she , cookie, feet ","group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1, group2","['water', 'sink', 'mother', 'dish_2', 'boy', 'stool', 'jar', 'boy', 'girl', 'girl', 'cookie', 'mother']"
295-1,0,"boy , stool, mother , dishes , water, floor, curtains, girl , brother , cookie , cookie jar","group1, group1, group2, group2, group2, group2, group4, group1, group1, group1, group1","['boy', 'stool', 'mother', 'dish_2', 'water', 'floor', 'curtain', 'girl', 'boy', 'cookie', 'jar']"
296-0,0,"boy , stool , cookie jar, stool , he, mother , dishes, window, she , water , sink , cups , plate , sink, girl , boy , cookie jar","group1, group1, group1, group1, group1, group2, group2, group4, group2, group2, group2, group3, group3, group2, group1, group1, group1","['boy', 'stool', 'jar', 'stool', 'boy', 'mother', 'dish_2', 'window', 'mother', 'water', 'sink', 'dish_3', 'dish_3', 'sink', 'girl', 'boy', 'jar']"
296-1,0,"children , cookie jar, boy , stool , stool , mother , back , dishes , sink , water , floor, sink , window, path , yard, plate , cups , counter, children , cookie jar, boy , girl, cookie jar, cupboard door, curtains , window, mother , apron, she, dress , hair, girl , shoes, stool ","group1-kid-boy, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group4, group4, group4, group3, group3, group3, group1-kid-boy, group1, group1, group1, group1, group1, group4, group4, group2, group2, group2, group2, group2, group1, group1-girl-hand, group1","['boy', 'girl', 'jar', 'boy', 'stool', 'stool', 'mother', 'mother', 'dish_2', 'sink', 'water', 'floor', 'sink', 'window', 'path', 'yard', 'dish_3', 'dish_3', 'cupboard_3', 'kids', 'jar', 'boy', 'girl', 'jar', 'cupboard_1', 'curtain', 'window', 'mother', 'mother', 'mother', 'mother', 'mother', 'girl', 'girl', 'stool']"
296-2,0,"boy , cookie jar, he, hand, stool , he, cookies, girl , mother , sink , dishes, water , sink , window , sink , yard, curtains, cups , plate , sink, cabinets, mother, apron , dress, girl , dress , blouse, boy , trousers , shirt , sweater, cookie jar, cookies, lid ","group1, group1, group1, group1-boy-hand, group1, group1, group1, group1, group2, group2, group2, group2, group2, group4, group2, group4, group4, group3, group3, group2, group1, group2, group2, group2, group1, group1-girl-hand, group1-girl-hand, group1, group1-boy-hand, group1-boy-hand, group1-boy-hand, group1, group1, group1","['boy', 'jar', 'boy', 'boy', 'stool', 'boy', 'cookie', 'girl', 'mother', 'sink', 'dish_2', 'water', 'sink', 'window', 'sink', 'yard', 'curtain', 'dish_3', 'dish_3', 'sink', 'cupboard_1', 'mother', 'mother', 'mother', 'girl', 'girl', 'girl', 'boy', 'boy', 'boy', 'boy', 'jar', 'cookie', 'lid']"
297-1,0,"kid , cookie jar, stool, sister, cookie jar, cupboard, mother, dishes , sink , dishes , window, curtains , window","group1-kid-boy, group1, group1, group1-kid-girl, group1, group1, group2, group2, group2, group3, group4, group4, group4","['boy', 'jar', 'stool', 'girl', 'jar', 'cupboard_1', 'mother', 'dish_2', 'sink', 'dish_3', 'window', 'curtain', 'window']"
297-2,0,"girl , cookie , brother, stool, cookie jar, cupboard, woman, dishes, sink, window, kid, cookie jar, lid, curtains ","group1, group1, group1, group1, group1, group1, group2, group2, group2, group4, group1-kid-boy, group1, group1, group4","['girl', 'cookie', 'boy', 'stool', 'jar', 'cupboard_1', 'mother', 'dish_2', 'sink', 'window', 'boy', 'jar', 'lid', 'curtain']"
298-1,0,"boy , cookie jar, stool , girl , cookie , hand, mother , window , dishes, sink , shoes, saucers , plate , sink ","group1, group1, group1, group1, group1, group1-boy-hand, group2, group4, group2, group2, group2, group3, group3, group2","['boy', 'jar', 'stool', 'girl', 'cookie', 'boy', 'mother', 'window', 'dish_2', 'sink', 'mother', 'dish_3', 'dish_3', 'sink']"
299-1,0,"kids , cookies, stool , girl, mother , dishes , sink, window, she, dishes, lid","group1-they, group1, group1, group1, group2, group2, group2, group4, group2, group2, group1","['boy', 'girl', 'cookie', 'stool', 'girl', 'mother', 'dish_2', 'sink', 'window', 'mother', 'dish_2', 'lid']"
302-0,0,"girl , finger , lips, boy , stool , cookies , cookie jar, mother , dishes, water , sink , curtains ","group1, group1-girl-hand, group1-girl-hand, group1, group1, group1, group1, group2, group2, group2, group2, group4","['girl', 'girl', 'girl', 'boy', 'stool', 'cookie', 'jar', 'mother', 'dish_2', 'water', 'sink', 'curtain']"
304-1,0,"boy , stool , he, cookie jar, water , sink, mother, dishes, girl , cookie","group1, group1, group1, group1, group2, group2, group2, group2, group1, group1","['boy', 'stool', 'boy', 'jar', 'water', 'sink', 'mother', 'dish_2', 'girl', 'cookie']"
304-2,0,"water , sink, kid, stool, he, cookies, girl , mother, water , dishes, water, floor, kid , stool, he, neck, cookies","group2, group2, group1-kid-boy, group1, group1, group1, group1, group2, group2, group2, group2, group2, group1-kid-boy, group1, group1, group1-boy-hand, group1","['water', 'sink', 'boy', 'stool', 'boy', 'cookie', 'girl', 'mother', 'water', 'dish_2', 'water', 'floor', 'boy', 'stool', 'boy', 'boy', 'cookie']"
318-0,0,"girl , cookie , boy , stool, mother , dishes, plate, sink , water , spigot , water , girl , mother , boy , cookie , she, dish , towel, water, floor","group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group1, group2, group1, group1, group2, group2, group2, group2, group2","['girl', 'cookie', 'boy', 'stool', 'mother', 'dish_2', 'dish_2', 'sink', 'water', 'sink', 'water', 'girl', 'mother', 'boy', 'cookie', 'mother', 'dish_2', 'towel', 'water', 'floor']"
318-1,0,"girl , mother , he, stool , he, cookie jar, cookie, she, hand, sink , water , she, dish , window , water, window","group1, group2, group1, group1, group1, group1, group1, group1, group1-boy-hand, group2, group2, group2, group2, group4, group2, group4","['girl', 'mother', 'boy', 'stool', 'boy', 'jar', 'cookie', 'girl', 'boy', 'sink', 'water', 'mother', 'dish_2', 'window', 'water', 'window']"
318-2,0,"stool , boy , cookie , sister , mother , sink , water , mother , dishes, feet ","group1, group1, group1, group1, group2, group2, group2, group2, group2, group2","['stool', 'boy', 'cookie', 'girl', 'mother', 'sink', 'water', 'mother', 'dish_2', 'mother']"
322-1,0,"water , faucet , basin , floor, mother , dishes, she, water , floor, children , cookies, stool , he, cookies , shelf , closet, curtains ","group2, group2, group2, group2, group2, group2, group2, group2, group2, group1-they, group1, group1, group1, group1, group1, group1, group4","['water', 'sink', 'dish_2', 'floor', 'mother', 'dish_2', 'mother', 'water', 'floor', 'kids', 'cookie', 'stool', 'boy', 'cookie', 'cupboard_1', 'cupboard_1', 'curtain']"
322-2,0,"boy , cookies , closet , hand , cookies , sister, he , stool, mother , dishes, dishwasher , floor, curtains , girl ","group1, group1, group1, group1-boy-hand, group1, group1-kid-girl, group1, group1, group2, group2, group2, group2, group4, group1","['boy', 'cookie', 'cupboard_1', 'boy', 'cookie', 'girl', 'boy', 'stool', 'mother', 'dish_2', 'sink', 'floor', 'curtain', 'girl']"
323-0,0,"sink , mother , dishes , children , cookie jar, stool, girl , cookie , boy , stool , window, bushes , path , window, house, curtains , dishes, towels, cups , plate , apron, glass , trees, floor, counter ","group2, group2, group2, group1-they, group1, group1, group1, group1, group1, group1, group4, group4, group4, group4, group4, group4, group2, group2, group3, group3, group2, group4, group4, group2, group3","['sink', 'mother', 'dish_2', 'boy', 'girl', 'jar', 'stool', 'girl', 'cookie', 'boy', 'stool', 'window', 'plant', 'path', 'window', 'curtain', 'dish_2', 'towel', 'dish_3', 'dish_3', 'mother', 'window', 'plant', 'floor', 'cupboard_3']"
323-1,0,"kids , boy , girl, boy, stool , cookies , jar, cookies , cabinet , lid , mother , dishes , window , curtain , window, walk , trees , grass, water , sink , floor, mother , dish, water, plate, cups , cabinet, mother , apron ","group1-they, group1, group1, group1, group1, group1, group1, group1, group1, group1, group2, group2, group4, group4, group4, group4, group4, group4, group2, group2, group2, group2, group2, group2, group3, group3, group3, group2, group2","['kids', 'boy', 'girl', 'boy', 'stool', 'cookie', 'jar', 'cookie', 'cupboard_1', 'lid', 'mother', 'dish_2', 'window', 'curtain', 'window', 'path', 'plant', 'plant', 'water', 'sink', 'floor', 'mother', 'dish_2', 'water', 'dish_3', 'dish_3', 'cupboard_3', 'mother', 'mother']"
332-0,0,"water, floor, boy, cookie , cookie jar, stool , girl , cookie, wife, plate","group2, group2, group1, group1, group1, group1, group1, group1, group2, group2","['water', 'floor', 'boy', 'cookie', 'jar', 'stool', 'girl', 'cookie', 'mother', 'dish_2']"
336-1,0,"girl , cookie, boy , head, she, mother, sink, window, bushes , she, dishes , apron, cookie jar","group1, group1, group1, group1-boy-hand, group1, group2, group2, group4, group4, group2, group2, group2, group1","['girl', 'cookie', 'boy', 'boy', 'girl', 'mother', 'sink', 'window', 'plant', 'mother', 'dish_2', 'mother', 'jar']"
340-0,0,"sink , she, sink, mother , dishes, boy , cookies , cookie jar, sister , stepstool , girl , nose, window, cookie jar, curtains , mother , cups , dish, door , cookie jar, cupboard","group2, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1-girl-hand, group4, group1, group4, group2, group3, group3, group1, group1, group1","['sink', 'mother', 'sink', 'mother', 'dish_2', 'boy', 'cookie', 'jar', 'girl', 'stool', 'girl', 'girl', 'window', 'jar', 'curtain', 'mother', 'dish_3', 'dish_3', 'cupboard_1', 'jar', 'cupboard_1']"
612-0,0,"boy , cookies, girl , cookie, boy , stool, lady, plate, water , sink, floor , feet , window, girl , nose, boy , cookie","group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group4, group1, group1-girl-hand, group1, group1","['boy', 'cookie', 'girl', 'cookie', 'boy', 'stool', 'mother', 'dish_2', 'water', 'sink', 'floor', 'mother', 'window', 'girl', 'girl', 'boy', 'cookie']"
627-0,0,"cookies, stool , sister , cookies, woman, dishes, sink , curtains , boy , toes, girl, mommy ","group1, group1, group1, group1, group2, group2, group2, group4, group1, group1-boy-hand, group1, group2","['cookie', 'stool', 'girl', 'cookie', 'mother', 'dish_2', 'sink', 'curtain', 'boy', 'boy', 'girl', 'mother']"
631-0,0,"kids , cookies, stool , mother, water , dishes, curtains, water","group1-they, group1, group1, group2, group2, group2, group4, group2","['kids', 'cookie', 'stool', 'mother', 'water', 'dish_2', 'curtain', 'water']"
661-0,0,"boy , cookies , jar, he, stool , girl , mother , dishes , she, water , sink, curtains, she , kids, boy , girl , cookie","group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group4, group2, group1-they, group1, group1, group1","['boy', 'cookie', 'jar', 'boy', 'stool', 'girl', 'mother', 'dish_2', 'mother', 'water', 'sink', 'curtain', 'mother', 'kids', 'boy', 'girl', 'cookie']"
668-0,0,"boy, cookie jar, stool , girl , cookie, mother , sink , she, water, she, dish , water , sink, she, water","group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group2, group2, group2","['boy', 'jar', 'stool', 'girl', 'cookie', 'mother', 'sink', 'mother', 'water', 'mother', 'dish_2', 'water', 'sink', 'mother', 'water']"
678-0,0,"sink, stool, boy , cookie, hand , girl, woman, dishes, dishes , counter, cupboard door, he , cookies, girl, mouth, boy , cookie , hand , hand","group2, group1, group1, group1, group1-boy-hand, group1, group2, group2, group3, group3, group1, group1, group1, group1, group1-girl-hand, group1, group1, group1-boy-hand, group1-boy-hand","['sink', 'stool', 'boy', 'cookie', 'boy', 'girl', 'mother', 'dish_2', 'dish_3', 'cupboard_3', 'cupboard_1', 'boy', 'cookie', 'girl', 'girl', 'boy', 'cookie', 'boy', 'boy']"
684-0,0,"boy , cookie jar, stool, girl , cookie, mother , dishes, sink , mother, feet , cups , saucer , sink, window , driveway, cabinets, mother , window, girl , lips, boy , foot, foot , mother, foot, floor , she, toe, dish , hand , plate ","group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group3, group3, group2, group4, group4, group1, group2, group4, group1, group1-girl-hand, group1, group1-boy-hand, group1-boy-hand, group2, group2, group2, group2, group2, group2, group2, group2","['boy', 'jar', 'stool', 'girl', 'cookie', 'mother', 'dish_2', 'sink', 'mother', 'mother', 'dish_3', 'dish_3', 'sink', 'window', 'path', 'cupboard_1', 'mother', 'window', 'girl', 'girl', 'boy', 'boy', 'boy', 'mother', 'mother', 'floor', 'mother', 'mother', 'dish_2', 'mother', 'dish_2']"
686-0,0,"girl , cookie, boy , stool , cookie jar, cupboard , door , faucet , floor , sink, woman , plate, she, window, bowls , plate , counter, curtains , windows, driveway , window , bushes , tree, window , garage , cookie jar, lid , boy , hand , cookie jar, cookie , girl , hand , she, finger , mouth ","group1, group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group4, group3, group3, group3, group4, group4, group4, group4, group4, group4, group4, group4, group1, group1, group1, group1-boy-hand, group1, group1, group1, group1-girl-hand, group1, group1-girl-hand, group1-girl-hand","['girl', 'cookie', 'boy', 'stool', 'jar', 'cupboard_1', 'cupboard_1', 'sink', 'floor', 'sink', 'mother', 'dish_2', 'mother', 'window', 'dish_3', 'dish_3', 'cupboard_3', 'curtain', 'window', 'path', 'window', 'plant', 'plant', 'window', 'garage', 'jar', 'lid', 'boy', 'boy', 'jar', 'cookie', 'girl', 'girl', 'girl', 'girl', 'girl']"
688-0,0," water, boy , stool , he, cookies, girl , lady , dishes , window","group2, group1, group1, group1, group1, group1, group2, group2, group4","['water', 'boy', 'stool', 'boy', 'cookie', 'girl', 'mother', 'dish_2', 'window']"
691-0,0,"girl, finger , lips, boy, stool , cookies, mother , back , sink, window , garden , garage, dishes, she , apron , dress, curtains , lid , she , cups , she , plates , she , floor, girl , socks , shoes , dress , hair, boy , shorts , shirt , flowers ","group1, group1-girl-hand, group1-girl-hand, group1, group1, group1, group2, group2, group2, group4, group4, group4, group2, group2, group2, group2, group4, group1, group1, group3, group2, group3, group2, group2, group1, group1-girl-hand, group1-girl-hand, group1-girl-hand, group1-girl-hand, group1, group1-boy-hand, group1-boy-hand, group4","['girl', 'girl', 'girl', 'boy', 'stool', 'cookie', 'mother', 'mother', 'sink', 'window', 'yard', 'garage', 'dish_2', 'mother', 'mother', 'mother', 'curtain', 'lid', 'girl', 'dish_3', 'mother', 'dish_3', 'mother', 'floor', 'girl', 'girl', 'girl', 'girl', 'girl', 'boy', 'boy', 'boy', 'plant']"
709-0,0,"mother , water , sink, she, floor, child , cookie jar, stool , he, plates, she","group2, group2, group2, group2, group2, group1-kid-boy, group1, group1, group1, group3, group1","['mother', 'water', 'sink', 'mother', 'floor', 'boy', 'jar', 'stool', 'boy', 'dish_3', 'girl']"
709-2,0,"mother , dishes, faucet, sink , floor, boy , cookies , cookie jar, he, stool , girl, hand, cookie, he, window , mother, water, she, cups , dish, lid , cookie jar","group2, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1-girl-hand, group1, group1, group4, group2, group2, group2, group3, group3, group1, group1","['mother', 'dish_2', 'sink', 'sink', 'floor', 'boy', 'cookie', 'jar', 'boy', 'stool', 'girl', 'girl', 'cookie', 'boy', 'window', 'mother', 'water', 'mother', 'dish_3', 'dish_3', 'lid', 'jar']"
208-2,0,"boy, stool, stool, boy, cookies, jar, cupboard, girl, her finger, her mouth, her hand, cookie, mother,  dishes, water, sink, window,  drapes,  cups, saucer,  she, dishes, she,  boy,  girl, cookie","group1, group1-girl-hand, group1, group1, group1, group1, group1, group1, group1-girl-hand, group1-girl-hand, group1-girl-hand, group1, group2, group2, group2, group2, group4, group4, group3, group3, group2, group2, group2, group1, group1, group1","['boy', 'stool', 'stool', 'boy', 'cookie', 'jar', 'cupboard_1', 'girl', 'girl', 'girl', 'girl', 'cookie', 'mother', 'dish_2', 'water', 'sink', 'window', 'curtain', 'dish_3', 'dish_3', 'mother', 'dish_2', 'mother', 'boy', 'girl', 'cookie']"
209-1,0,"boy, cookies, jar, stool, his sister, him,  mother, dishes, she, dishes, water, sink, dishes, mother","group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group2","['boy', 'cookie', 'jar', 'stool', 'girl', 'boy', 'mother', 'dish_2', 'mother', 'dish_2', 'water', 'sink', 'dish_2', 'mother']"
209-2,0,"he, cookie jar, stool, sister, stool, she, mother,  sink, she, dishes, she, water, she,  plants, window","group1, group1, group1, group1-kid-girl, group1, group1, group2, group2, group2, group2, group2, group2, group2, group4, group4","['boy', 'jar', 'stool', 'girl', 'stool', 'girl', 'mother', 'sink', 'mother', 'dish_2', 'mother', 'water', 'mother', 'plant', 'window']"
